,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
0,"9 5G 4  6.6"" 120 герц",36,21990,14073,Realme,1116,5,https://www.wildberries.ru/catalog/121028588/detail.aspx?targetUrl=BP,1,128Gb,4Gb,8600,6.6
2,Reno 7 8 ,43,27990,15954,OPPO,357,5,https://www.wildberries.ru/catalog/116872732/detail.aspx?targetUrl=BP,1,128Gb,8Gb,4100,6.4
3,Reno 7 8 ,43,27990,15954,OPPO,288,5,https://www.wildberries.ru/catalog/116872733/detail.aspx?targetUrl=BP,1,128Gb,8Gb,4100,6.4
4,SMART 6 PLUS 2 ,40,9990,5994,Infinix,1813,5,https://www.wildberries.ru/catalog/114477948/detail.aspx?targetUrl=BP,1,64Gb,2Gb,5900,6.82
5,NOTE 12 2023 8 ,35,22990,14943,Infinix,118,5,https://www.wildberries.ru/catalog/128728547/detail.aspx?targetUrl=BP,1,256Gb,8Gb,900,6.7
6,NOTE 12 PRO 8 ,32,24990,16993,Infinix,586,5,https://www.wildberries.ru/catalog/117962430/detail.aspx?targetUrl=BP,1,256Gb,8Gb,2400,6.7
7,SMART 6 2 ,30,9990,6993,Infinix,947,5,https://www.wildberries.ru/catalog/74764975/detail.aspx?targetUrl=BP,1,32Gb,2Gb,4300,6.6
8,С35 4  6.6 2408x1080 FHD  5000 mAh,40,19990,11994,Realme,1383,5,https://www.wildberries.ru/catalog/111864727/detail.aspx?targetUrl=BP,1,128Gb,4Gb,9400,6.6
9,10 4G 4  6.4 FHD  50mp NFC,20,19990,15992,Realme,153,5,https://www.wildberries.ru/catalog/123832379/detail.aspx?targetUrl=BP,1,128Gb,4Gb,1000,6.4
12,С31 3  6.5 HD  NFC 5000mA,46,12990,7014,Realme,549,5,https://www.wildberries.ru/catalog/115115739/detail.aspx?targetUrl=BP,1,32Gb,3Gb,3600,6.5
13,А17 4 ,36,10990,7033,OPPO,230,5,https://www.wildberries.ru/catalog/126920776/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1700,6.56
17,С25Y 4 64b 6.5 1600x720HD  5000m,9,10990,10000,Realme,110,5,https://www.wildberries.ru/catalog/131745097/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1700,6.5
18,M4 Pro  256Gb,48,39990,20794,POCO,2391,5,https://www.wildberries.ru/catalog/66070237/detail.aspx?targetUrl=BP,1,256Gb,8Gb,14900,6.43
19,С31 3  6.5 HD   NFC,46,12990,7014,Realme,549,5,https://www.wildberries.ru/catalog/115115428/detail.aspx?targetUrl=BP,1,32Gb,3Gb,2400,6.5
20,С31 4  6.5 HD  NFC 5000mA,36,13990,8953,Realme,1108,5,https://www.wildberries.ru/catalog/115119935/detail.aspx?targetUrl=BP,1,64Gb,4Gb,5400,6.5
24,SMART 6 2 ,40,8317,4990,Infinix,114,5,https://www.wildberries.ru/catalog/48793199/detail.aspx?targetUrl=BP,1,32Gb,2Gb,300,6.2
26,HOT 20i 4 ,30,9986,6990,Infinix,9,5,https://www.wildberries.ru/catalog/136419433/detail.aspx?targetUrl=BP,1,64Gb,4Gb,10,6.6
29,HOT 12 PRO 8 ,39,17990,10973,Infinix,518,5,https://www.wildberries.ru/catalog/114477953/detail.aspx?targetUrl=BP,1,128Gb,8Gb,1400,6.6
31,А96 6 ,32,21990,14953,OPPO,155,5,https://www.wildberries.ru/catalog/116872730/detail.aspx?targetUrl=BP,1,128Gb,6Gb,1600,6.59
32,С35 4  6.6 2408x1080 FHD  5000mAh,39,17990,10973,Realme,1064,5,https://www.wildberries.ru/catalog/111864107/detail.aspx?targetUrl=BP,1,64Gb,,,6.6
33,С33 4  50M HD  NFC 5000m,27,14990,10942,Realme,299,5,https://www.wildberries.ru/catalog/106466313/detail.aspx?targetUrl=BP,1,128Gb,,,
35,HOT 12 Play 4 ,38,12990,8053,Infinix,587,5,https://www.wildberries.ru/catalog/81588758/detail.aspx?targetUrl=BP,1,64Gb,,,
36,А17k 3 ,33,8990,6023,OPPO,46,5,https://www.wildberries.ru/catalog/127005147/detail.aspx?targetUrl=BP,1,64Gb,,,
37,А57s 4 ,29,13990,9932,OPPO,96,5,https://www.wildberries.ru/catalog/126066982/detail.aspx?targetUrl=BP,1,64Gb,,,
38,А96 6 ,32,21990,14953,OPPO,142,5,https://www.wildberries.ru/catalog/116872731/detail.aspx?targetUrl=BP,1,128Gb,,,
39,M4 Pro  256Gb,50,39990,19995,POCO,2391,5,https://www.wildberries.ru/catalog/78487675/detail.aspx?targetUrl=BP,1,256Gb,,,
40,А57s 4 ,31,15990,11033,OPPO,41,5,https://www.wildberries.ru/catalog/126963650/detail.aspx?targetUrl=BP,1,128Gb,,,
41,NOTE 12 6 ,32,18990,12913,Infinix,559,5,https://www.wildberries.ru/catalog/113187347/detail.aspx?targetUrl=BP,1,128Gb,,,
43,HOT 11S NFC 6 ,28,17990,12952,Infinix,479,5,https://www.wildberries.ru/catalog/110847825/detail.aspx?targetUrl=BP,1,128Gb,,,
46,NOTE 12 VIP 8 ,24,32990,25072,Infinix,288,5,https://www.wildberries.ru/catalog/121002311/detail.aspx?targetUrl=BP,1,256Gb,,,
48,С33 4  50M HD  NFC 5000mA,29,13990,9932,Realme,251,5,https://www.wildberries.ru/catalog/106443462/detail.aspx?targetUrl=BP,1,64Gb,,,
49,Galaxy A33 5G ,30,29990,20993,Samsung,44,5,https://www.wildberries.ru/catalog/84888167/detail.aspx?targetUrl=BP,1,128Gb,,,
51,HOT 11 4 ,38,15990,9913,Infinix,80,5,https://www.wildberries.ru/catalog/104209192/detail.aspx?targetUrl=BP,1,128Gb,,,
52,"С35 6.6"" 4 ",5,13674,12990,Realme,65,5,https://www.wildberries.ru/catalog/113271120/detail.aspx?targetUrl=BP,1,64Gb,,,6.6
53,Galaxy A53 5G ,37,37990,23933,Samsung,50,5,https://www.wildberries.ru/catalog/84888172/detail.aspx?targetUrl=BP,1,128Gb,,,
54,HOT 20i 4 ,42,11990,6954,Infinix,49,5,https://www.wildberries.ru/catalog/105000655/detail.aspx?targetUrl=BP,1,64Gb,,,
55,HOT 11S NFC 4 ,27,14990,10942,Infinix,479,5,https://www.wildberries.ru/catalog/45338058/detail.aspx?targetUrl=BP,1,64Gb,,,
