,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
0,121028588,Китай,191 г,75.6 см,164.3 см,8.5 см,2412x1080,6.6,Super Clear LCD,1 ТБ,128 GB,4 GB,Android 12,Nano-SIM,1 (один) год,Snapdragon 695,2200 МГц,8,50 Мп,16 Мп,2 nano SIM,Bluetooth; GPS; NFC; Wi-Fi,"GSM 1801; 2G, 3G, 5G, LTE","BeiDou , Galileo , A-GPS , GPS , ГЛОНАСС",5000 m*Ah,typ-c,,,8600
1,116872732,Китай,175 г,7.32 см,,0.78 см,2400x1080,6.40,Безрамочный дисплей,1 ТБ,128,8,Android,Nano-SIM,1 год,Snapdragon 680 (8 ядер),,8,64 Мп,32 Мп,2,NFC; Wi-Fi; Bluetooth; GPS,,,4500.00,"Type - C; Jack 3,5 mm",,,4100
2,116872733,Китай,175 г,7.32 см,,0.78 см,2400 x 1080,6.40,Безрамочный дисплей,1 ТБ,128,8,Android,Nano-SIM,1 год,Snapdragon 680 (8 ядер),,8,64 Мп,32 Мп,2,Bluetooth; GPS; NFC; Wi-Fi,,,4500.00,"Jack 3,5 mm; Type - C",,,4100
3,114477948,Китай,202 г,7.7 см,17.2 см,0.84 см,,"6,82""",IPS,512 ГБ,64,2,Android 12,NanoSIM,1 год,Helio G25 (8 ядер); 2.0 ггц,,8,8 Мп,5 Мп,2 SIM,Wi Fi; GPS; Blueooth,"2,3,4 G",GPS (спутник) + A-GPS + ГЛОНАСС,5000 mAh,Micro - USB,,,5900
4,128728547,Китай,195 г,7.65 см,16.44 см,0.78 см,FHD+1080*2400,6.7”,AMOLED,256 ГБ,256 ГБ,8 ГБ,Android,nano SIM,1 год,MTK Helio G99,2 МГц,6,50 Мп,16 Мп,2,Bluetooth; GPS; NFC; Wi-Fi,2G; 3G; 4G,GPS,5000 мАч,"type C; Jack 3,5 мм",,,900
5,117962430,Китай,192 г,7.6 см,16.4 см,0.78 см,1080 x 2400,"6,7 """,AMOLED,2000 ГБ,256 ГБ,8 ГБ,Android.,Nano-SIM,1 год,MediaTek Helio G99,,8,108 Мп,16 Мп,2 nano SIM + microSD,Bluetooth Wi-Fi GPS,"2,3,4 G",GPS,5000 mAh,Type - C,,,2400
6,74764975,Китай,,,,,1600x720,6.6'',IPS,512 ГБ,32 ГБ,2 ГБ,Android,Nano-SIM,1 год,,,,8 Мп,5 Мп,2,Bluetooth; NFC; Wi-Fi; GPS,4G LTE; 3 G; 2 G,GPS,5000 mAh,Micro USB; 3.5 Jack,,,4300
7,111864727,Китай,189 г,7.5 см,16.5 см,0.81 см,2408 x 1080,"6,6",LED дисплей,256 Gb,128 GB,4 GB,Андроид 11,Nano-SIM,Год,Unisoc T616,2400 МГц,8,50 Мп,8 Мп,2 SIM,Bluetooth; GPS; NFC; Wi-Fi,LTE; 2G; 3G,да,5000,USB Type-C,,,9400
8,123832379,Китай,178.5 г,73.3 см,159.9 см,7.95 см,FHD + 2400 x 1080,6.4,Super AMOLED,1 ТБ,128 ГБ,4 ГБ,Android 12,nano SIM,1 год,MTK Helio G99,2.2 МГц,8,50 Мп,16 Мп,2,Bluetooth; GPS; NFC; Wi-Fi,2G; 3G; 4G,"GPS/AGPS, Beidou, Glonass, Galileo",5000,USB Type - C,,,1000
9,115115739,Китай,197 г,0.76 см,16.4 см,0.8 см,1600 х 720,"6,5 дюйма",HD IPS,1 ТБ,32 GB,3 GB,Andriod 11,Nano-SIM,,UNISOC 1.8 ГГц,1820 МГц,8,13 Мп,5 Мп,2 SIM,Bluetooth; GPS; Wi-Fi; NFC,"LTE, 2G, 3G","A-GPS, GALILEO, GPS, ГЛОНАСС",5000 mAh,Micro - USB,,,3600
