,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,"Смартфон 9 5G 4 128Gb 6.6"" 120 герц",121028588,36,21990,14073,Realme,48914,1116,5,https://www.wildberries.ru/catalog/121028588/detail.aspx?targetUrl=BP
1,"Смартфон 9 5G 4 128Gb 6.6"" 120 герц",121028587,36,21990,14073,Realme,48914,1116,5,https://www.wildberries.ru/catalog/121028587/detail.aspx?targetUrl=BP
2,Смартфон Reno 7 8+128 Гб,116872732,43,27990,15954,OPPO,10883,357,5,https://www.wildberries.ru/catalog/116872732/detail.aspx?targetUrl=BP
3,Смартфон Reno 7 8+128 Гб,116872733,43,27990,15954,OPPO,10883,288,5,https://www.wildberries.ru/catalog/116872733/detail.aspx?targetUrl=BP
4,SMART 6 PLUS 2+64GB,114477948,40,9990,5994,Infinix,252622,1813,5,https://www.wildberries.ru/catalog/114477948/detail.aspx?targetUrl=BP
5,NOTE 12 2023 8+256GB,128728547,35,22990,14943,Infinix,252622,118,5,https://www.wildberries.ru/catalog/128728547/detail.aspx?targetUrl=BP
6,NOTE 12 PRO 8+256GB,117962430,32,24990,16993,Infinix,252622,586,5,https://www.wildberries.ru/catalog/117962430/detail.aspx?targetUrl=BP
7,Смартфон SMART 6 2+32 GB,74764975,30,9990,6993,Infinix,252622,947,5,https://www.wildberries.ru/catalog/74764975/detail.aspx?targetUrl=BP
8,Смартфон С35 4 128Gb 6.6 2408x1080 FHD+ 5000 mAh,111864727,40,19990,11994,Realme,48914,1383,5,https://www.wildberries.ru/catalog/111864727/detail.aspx?targetUrl=BP
9,Смартфон 10 4G 4 128Gb 6.4 FHD+ 50mp NFC,123832379,20,19990,15992,Realme,48914,153,5,https://www.wildberries.ru/catalog/123832379/detail.aspx?targetUrl=BP
10,SMART 6 PLUS 2+64GB,114477949,40,9990,5994,Infinix,252622,1813,5,https://www.wildberries.ru/catalog/114477949/detail.aspx?targetUrl=BP
11,Смартфон С35 4 128Gb 6.6 2408x1080 FHD+ 5000 mAh,111864728,40,19990,11994,Realme,48914,1383,5,https://www.wildberries.ru/catalog/111864728/detail.aspx?targetUrl=BP
12,Смартфон С31 3 32Gb 6.5 HD+ NFC 5000mA,115115739,46,12990,7014,Realme,48914,549,5,https://www.wildberries.ru/catalog/115115739/detail.aspx?targetUrl=BP
13,Смартфон А17 4+64 Гб,126920776,36,10990,7033,OPPO,10883,230,5,https://www.wildberries.ru/catalog/126920776/detail.aspx?targetUrl=BP
14,Смартфон А17 4+64 Гб,126920777,36,10990,7033,OPPO,10883,230,5,https://www.wildberries.ru/catalog/126920777/detail.aspx?targetUrl=BP
15,Смартфон SMART 6 2+32 GB,48808646,30,9990,6993,Infinix,252622,947,5,https://www.wildberries.ru/catalog/48808646/detail.aspx?targetUrl=BP
16,Смартфон 10 4G 4 128Gb 6.4 FHD+ 50mp NFC,123832380,20,19990,15992,Realme,48914,153,5,https://www.wildberries.ru/catalog/123832380/detail.aspx?targetUrl=BP
17,Смартфон С25Y 4 64b 6.5 1600x720HD+ 5000m,131745097,9,10990,10000,Realme,48914,110,5,https://www.wildberries.ru/catalog/131745097/detail.aspx?targetUrl=BP
18,Смартфон M4 Pro 8GB+256GB,66070237,48,39990,20794,POCO,132943,2391,5,https://www.wildberries.ru/catalog/66070237/detail.aspx?targetUrl=BP
19,Смартфон С31 3 32Gb 6.5 HD + NFC,115115428,46,12990,7014,Realme,48914,549,5,https://www.wildberries.ru/catalog/115115428/detail.aspx?targetUrl=BP
20,Смартфон С31 4 64Gb 6.5 HD+ NFC 5000mA,115119935,36,13990,8953,Realme,48914,1108,5,https://www.wildberries.ru/catalog/115119935/detail.aspx?targetUrl=BP
21,NOTE 12 2023 8+256GB,128728542,35,22990,14943,Infinix,252622,118,5,https://www.wildberries.ru/catalog/128728542/detail.aspx?targetUrl=BP
22,Смартфон С31 4 64Gb 6.5 HD+ NFC 5000mA,115119681,36,13990,8953,Realme,48914,1108,5,https://www.wildberries.ru/catalog/115119681/detail.aspx?targetUrl=BP
23,NOTE 12 PRO 8+256GB,117964070,32,24990,16993,Infinix,252622,586,5,https://www.wildberries.ru/catalog/117964070/detail.aspx?targetUrl=BP
24,Смартфон SMART 6 2+32GB,48793199,40,8317,4990,Infinix,252622,114,5,https://www.wildberries.ru/catalog/48793199/detail.aspx?targetUrl=BP
25,Смартфон SMART 6 2+32GB,48793556,40,8317,4990,Infinix,252622,114,5,https://www.wildberries.ru/catalog/48793556/detail.aspx?targetUrl=BP
26,HOT 20i 4+64GB,136419433,30,9986,6990,Infinix,252622,9,5,https://www.wildberries.ru/catalog/136419433/detail.aspx?targetUrl=BP
27,HOT 20i 4+64GB,105015290,30,9986,6990,Infinix,252622,9,5,https://www.wildberries.ru/catalog/105015290/detail.aspx?targetUrl=BP
